solution_category,count,dataset_path,dataset_key,canonical_sample_id,sample_file,source_problem_id,question_units,answer_units,question_type,answer_shape,requires_image,complexity_index,category_basis,question,answer
electrochemistry_redox,9,chemistry\scemqa_chemistry,scemqa_chemistry,scemqachemistry00098,scemqachemistry00098.json,410,22,3,multiple_choice,short_text,False,5.8458,keyword:electrochemistry_redox,The solubility of manganese hydroxide ($Mn(OH)_2$) is 2.2e-5 M. What is the $K_{sp}$ of $Mn(OH)_2$?,4.3e-14
electromagnetics_fields,24,circuit\eee_bench,eee_bench,eeebench01351,eeebench01351.json,384,21,4,multiple_choice,formula_latex,True,7.2858,keyword:electromagnetics_fields,"As shown in the image, near points \( a \), \( b \), and \( c \) on the charged insulated conductor, the electric field strength is",Maximum at point \( a \)
electromagnetism_circuits,721,physics\phyx,phyx,phyx00892,phyx00892.json,1467,16,2,multiple_choice,numeric_or_unit,True,6.4816,keyword:electromagnetism_circuits,Find the current \( I_1 \) in the circuit shown in Figure 18.14 by using Kirchhoff's rules.,0.83 A
equilibrium_kinetics_gas,65,chemistry\sciverse_chemistry,sciverse_chemistry,sciversechemistry00157,sciversechemistry00157.json,290,22,5,multiple_choice,formula_latex,True,6.5183,keyword:equilibrium_kinetics_gas,What is the approximate molar solubility of zinc iodate at 25°C? Zinc iodate dissociates in water via the following equilibrium process,$1.0 \times 10^{-2}$ M
evolution_classification,7,biology\scemqa_biology,scemqa_biology,scemqabiology00029,scemqabiology00029.json,441,24,3,multiple_choice,short_text,False,5.8984,keyword:evolution_classification,Pre- and post-zygotic barriers exist that prevent two different species from producing viable offspring. All of the following are pre-zygotic barriers EXCEPT,sterility of offspring
experimental_graph_data,18,biology\sciverse_biology,sciverse_biology,sciversebiology00212,sciversebiology00212.json,126,18,1,multiple_choice,short_text,True,6.5638,keyword:experimental_graph_data,A biologist uses paper chromatography to separate pigments obtained from chloroplasts. Which pigment has the greatest Rf value?,carotene
geography_other,193,geography\geosqa,geosqa,geosqa00955,geosqa00955.json,3161,15,9,multiple_choice,long_text,True,7.3177,fallback,读图回答下题。 <image1> 下列描述正确是,3地可能分布有茶园
geometry_angle_chasing,5905,math\mathvision,mathvision,mathvision00082,mathvision00082.json,176,16,1,open,numeric_or_unit,True,5.9433,keyword:geometry_angle_chasing,How many triangles can be drawn with vertices in the 18 points shown in the figure?,711
geometry_length_area_volume,1449,math\geoqa_plus,geoqa_plus,geoqaplus00000,geoqaplus00000.json,1815,16,1,open,choice_label,True,7.501,keyword:geometry_length_area_volume,The shaded area is equal to $2 \pi$. What is the length of $PQ$? <image1>,4
geomorphology_geology_hazards,94,geography\ai2d_geography,ai2d_geography,ai2d_geography00176,ai2d_geography00176.json,2023,15,1,multiple_choice,short_text,True,6.4596,keyword:geomorphology_geology_hazards,What is the name of the bowl-shaped depression at the mouth of a volcano?,crater
graph_data_interpretation,42,physics\phyx,phyx,phyx00090,phyx00090.json,165,14,14,multiple_choice,formula_latex,True,6.8147,keyword:graph_data_interpretation,Figure shows a frustum of a cone. Calculate the area of the curved surface.,\[ \pi(r_1 + r_2)[h^{2} + (r_2 - r_1)^{2}]^{1/2} \]
hydrology_ocean_rivers,116,geography\ai2d_geography,ai2d_geography,ai2d_geography00284,ai2d_geography00284.json,2721,14,1,multiple_choice,short_text,True,6.8067,keyword:hydrology_ocean_rivers,The following diagram shows four stages. Which stage occurs between label B and C?,Runoff
isomer_stereochemistry_nomenclature,14,chemistry\sciverse_chemistry,sciverse_chemistry,sciversechemistry00236,sciversechemistry00236.json,332,15,1,multiple_choice,choice_label,True,6.1633,keyword:isomer_stereochemistry_nomenclature,Which point on the graph shown above corresponds to an activated complex or transition state?,3
lab_graph_data_interpretation,13,chemistry\sciverse_chemistry,sciverse_chemistry,sciversechemistry00185,sciversechemistry00185.json,1070,16,1,multiple_choice,choice_label,True,6.3228,keyword:lab_graph_data_interpretation,"In sets a - d, only one of the set is incorrect regarding basic strength. Select it :",C
life_cycle_development,44,biology\ai2d_biology,ai2d_biology,ai2d_biology00243,ai2d_biology00243.json,439,16,1,multiple_choice,short_text,True,6.3681,keyword:life_cycle_development,"What stage corresponds to the newly hatched, wingless, worm-like form of a butterfly before metamorphosis?",larva
linear_programming_constraints,57,math\cmm_math,cmm_math,cmmmath00010,cmmmath00010.json,19899,30,2,multiple_choice,formula_latex,False,5.6332,keyword:linear_programming_constraints,"已知 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x-y \geq 0, \\ x+y \leq 2, \\ y \geq 0,\end{array}\right.$围为 ( )","$[-1,1]$"
map_topography_location,228,geography\geosqa,geosqa,geosqa01019,geosqa01019.json,3726,14,7,multiple_choice,long_text,True,7.8071,keyword:map_topography_location,"读图,完成: <image1> 4所在的地形区是",长江中下游平原
math_other,640,math\geometry3k,geometry3k,geometry3k00293,geometry3k00293.json,797,16,1,calculation,choice_label,True,6.4102,fallback,"If $LK=4, MP=3, PQ=6, KJ=2, RS=6$, and $LP=2$, find $QR$.",3
measurement_instrumentation,17,circuit\eee_bench,eee_bench,eeebench01890,eeebench01890.json,1696,16,5,multiple_choice,short_text,True,6.4447,keyword:measurement_instrumentation,"Through the oscilloscope, the following AC waveforms are observed. Which two figures show an inverse relationship?",Figure (a) and Figure (d)
measurement_time_units,89,math\geoqa_plus,geoqa_plus,geoqaplus01899,geoqaplus01899.json,20,15,1,multiple_choice,short_text,True,5.9377,keyword:measurement_time_units,Which of the figures shown bellow cannot be cut out of the figure illustrated nearby?,E
mechanics_kinematics_dynamics,2660,physics\phyx,phyx,phyx00852,phyx00852.json,764,15,4,multiple_choice,formula_latex,True,6.8912,keyword:mechanics_kinematics_dynamics,As shown in the figure. Determine the object’s velocity at times t = 8 s.,30 \mathrm{m/s}
modern_quantum_nuclear_relativity,27,physics\sciverse_physics,sciverse_physics,sciversephysics00213,sciversephysics00213.json,1103,13,2,multiple_choice,short_text,True,5.3389,keyword:modern_quantum_nuclear_relativity,"As shown in the figure, what does the '?' represent in the nuclear reaction?",a neutron
molecular_structure_identification,5,chemistry\emma_chemistry,emma_chemistry,emmachemistry00293,emmachemistry00293.json,1166,11,1,open,numeric_or_unit,True,6.5269,keyword:molecular_structure_identification,How many chirality centers does the following molecule have? <image_1>,5
molecular_structure_smiles_bonds,75,chemistry\sciverse_chemistry,sciverse_chemistry,sciversechemistry00159,sciversechemistry00159.json,1063,15,1,multiple_choice,choice_label,True,6.0034,keyword:molecular_structure_smiles_bonds,Consider the structure of the amino acid isoleucine. How many optical isomers does isoleucine have?,4
number_theory_arithmetic,105,math\mathvision,mathvision,mathvision00945,mathvision00945.json,1294,17,1,open,choice_label,True,6.9943,keyword:number_theory_arithmetic,"Each letter represents a different digit, and each digit a different letter. What digit could G represent?",1
organic_reaction_mechanism,1,chemistry\sciverse_chemistry,sciverse_chemistry,sciversechemistry00003,sciversechemistry00003.json,919,59,1,multiple_choice,short_text,True,8.0098,keyword:organic_reaction_mechanism,"下列卤代烃 $\ce{CH3CH2CH2Br}$、$\ce{(CH3)3CCl}$、$\ce{CH3CH(Br)CH3}$ 和 $\ce{(CH3)2C(Br)CH3}$ 按 $\mathrm{S_{N}1}$ 反应机理进行反应时,反应最快的是 $\ce{(CH3)3CCl}$。",right
periodic_atomic_bonding,12,chemistry\scemqa_chemistry,scemqa_chemistry,scemqachemistry00082,scemqachemistry00082.json,310,17,1,multiple_choice,short_text,True,6.5106,keyword:periodic_atomic_bonding,"According to the data in the table above, which of the compounds has the strongest intermolecular forces?",Propylamine
physics_other,426,physics\sciverse_physics,sciverse_physics,sciversephysics00181,sciversephysics00181.json,1108,16,2,multiple_choice,formula_latex,True,6.5105,fallback,"As shown, if the ammeter in the circuit above reads zero, what is the resistance R ?",6 $\Omega$
plant_biology,72,biology\ai2d_biology,ai2d_biology,ai2d_biology01052,ai2d_biology01052.json,1878,16,1,multiple_choice,short_text,True,6.5069,keyword:plant_biology,"Light energy powers photosynthesis, which converts carbon dioxide and water into carbohydrates and this gaseous element",Oxygen
population_urban_economic,338,geography\geosqa,geosqa,geosqa00352,geosqa00352.json,930,26,5,multiple_choice,short_text,True,7.8608,keyword:population_urban_economic,"读下图,回答下列各题。 <image1> Q地为该城市规划预留地,最适宜建()",高新技术区
power_electronics_converters,11,circuit\eee_bench,eee_bench,eeebench00909,eeebench00909.json,1368,17,1,calculation,numeric_or_unit,True,6.6261,keyword:power_electronics_converters,Determine the range of \(K\) for which the following discrete-time system is stable and causal. K > (),4.5
power_machines_transformers,30,circuit\eee_bench,eee_bench,eeebench01069,eeebench01069.json,1542,17,9,multiple_choice,formula_latex,True,7.2303,keyword:power_machines_transformers,The sequence of states \(\left(Q_1 Q_0\right)\) of the given synchronous sequential circuit is:,\(11 \rightarrow 00 \rightarrow 10 \rightarrow 01 \rightarrow 00\)
segment_length,34,math\geometry3k,geometry3k,geometry3k00381,geometry3k00381.json,30,16,1,calculation,numeric_or_unit,True,6.5349,keyword:segment_length,"In $\odot P$, $PS=4$, find the length of $\widehat{QR}$. Round to the nearest hundredth.",4.75
sequence_pattern_logic,60,math\geoqa_plus,geoqa_plus,geoqaplus00521,geoqaplus00521.json,1999,15,1,open,numeric_or_unit,True,6.4655,keyword:sequence_pattern_logic,Both rows of the following grid have the same sum. What is the value of $*$?,950
sequential_logic_microprocessor,35,circuit\eee_bench,eee_bench,eeebench01517,eeebench01517.json,569,20,2,multiple_choice,short_text,True,6.8095,keyword:sequential_logic_microprocessor,"In the circuit shown in the figure, after the switch \( S \) is closed, the operating state of the circuit is ( )",Short circuit
signals_systems_filtering,191,circuit\eee_bench,eee_bench,eeebench01077,eeebench01077.json,1033,16,11,multiple_choice,formula_latex,True,6.7879,keyword:signals_systems_filtering,"Given \( f(t) \) and \( g(t) \) as shown below, the Laplace transform of \( g(t) \) is",\( \frac{e^{-3s}}{s} \left(1 - e^{-2s}\right) \)
similarity_congruence,5,math\geometry3k,geometry3k,geometry3k00211,geometry3k00211.json,666,8,1,calculation,choice_label,True,5.4166,keyword:similarity_congruence,The pair of polygons is similar. Find AB,4
statistics_data_analysis,101,math\mathvision,mathvision,mathvision00211,mathvision00211.json,463,16,1,open,numeric_or_unit,True,6.8997,keyword:statistics_data_analysis,Thomas has made a table out of small cubes. How many small cubes did he use?,32
stoichiometry_reaction_calculation,93,chemistry\scemqa_chemistry,scemqa_chemistry,scemqachemistry00035,scemqachemistry00035.json,343,16,9,multiple_choice,long_text,True,6.4525,keyword:stoichiometry_reaction_calculation,"Based on the mass spectrum shown below, which of the following can be concluded about zirconium?",The most common isotope of zirconium has 50 neutrons.
thermo_fluids_gases,231,physics\phyx,phyx,phyx00584,phyx00584.json,717,16,3,multiple_choice,formula_latex,True,5.9951,keyword:thermo_fluids_gases,0.020 mol of gas undergoes the process shown in the figure What is the final temperature?,458^\circ C
thermochemistry_calorimetry,37,chemistry\sciverse_chemistry,sciverse_chemistry,sciversechemistry00138,sciversechemistry00138.json,318,17,1,multiple_choice,choice_label,True,6.3482,keyword:thermochemistry_calorimetry,How many significant digits are present in the temperature read from the thermometer illustrated to the right?,3
transition_state_smiles_selection,846,chemistry\emma_chemistry,emma_chemistry,emmachemistry00184,emmachemistry00184.json,620,16,3,multiple_choice,short_text,True,6.492,keyword:transition_state_smiles_selection,"Choose the SMILES expression of the transition-state structure shown in the image, ignoring the arrows.",*C(C)=O
trigonometric_ratio,21,math\geometry3k,geometry3k,geometry3k00037,geometry3k00037.json,421,13,1,open,numeric_or_unit,True,5.9613,keyword:trigonometric_ratio,Express the ratio of $\tan Q$ as a decimal to the nearest hundredth.,0.53
visual_spatial_puzzle,130,math\geoqa_plus,geoqa_plus,geoqaplus01855,geoqaplus01855.json,92,16,1,multiple_choice,choice_label,True,7.41,keyword:visual_spatial_puzzle,Question: Which of the figures can be cut into these 3 pieces? <image1> <image2>,C
waves_optics_sound,449,physics\phyx,phyx,phyx01021,phyx01021.json,598,16,1,multiple_choice,choice_label,True,6.4612,keyword:waves_optics_sound,Based on the figure Find the magnification of the image produced by the lenses in combination.,1
