solution_category,count,dataset_path,dataset_key,canonical_sample_id,sample_file,source_problem_id,question_units,answer_units,question_type,answer_shape,requires_image,complexity_index,question,answer
digital_logic_boolean,226,circuit\eee_bench,eee_bench,eeebench00454,eeebench00454.json,489,7,3,multiple_choice,short_text,True,6.1263,The circuit shown in the figure is:,CMOS transmission gate
earth_sun_moon_space,253,geography\ai2d_geography,ai2d_geography,ai2d_geography00223,ai2d_geography00223.json,1664,3,1,multiple_choice,short_text,True,4.7081,Label C represents,Earth
ecology_food_web_population,474,biology\ai2d_biology,ai2d_biology,ai2d_biology00633,ai2d_biology00633.json,2696,4,1,multiple_choice,short_text,True,4.676,What is a predator?,crab
electrochemistry_redox,9,chemistry\scemqa_chemistry,scemqa_chemistry,scemqachemistry00098,scemqachemistry00098.json,410,22,3,multiple_choice,short_text,False,5.8458,The solubility of manganese hydroxide ($Mn(OH)_2$) is 2.2e-5 M. What is the $K_{sp}$ of $Mn(OH)_2$?,4.3e-14
electromagnetics_fields,24,circuit\eee_bench,eee_bench,eeebench01351,eeebench01351.json,384,21,4,multiple_choice,formula_latex,True,7.2858,"As shown in the image, near points \( a \), \( b \), and \( c \) on the charged insulated conductor, the electric field strength is",Maximum at point \( a \)
electromagnetism_circuits,721,physics\seephys,seephys,seephys00684,seephys00684.json,69,6,2,open,formula_latex,True,5.6384,Which resistor dissipates the most power?,$R_{1}$
equilibrium_kinetics_gas,65,chemistry\sciverse_chemistry,sciverse_chemistry,sciversechemistry00157,sciversechemistry00157.json,290,22,5,multiple_choice,formula_latex,True,6.5183,What is the approximate molar solubility of zinc iodate at 25°C? Zinc iodate dissociates in water via the following equilibrium process,$1.0 \times 10^{-2}$ M
evolution_classification,7,biology\scemqa_biology,scemqa_biology,scemqabiology00029,scemqabiology00029.json,441,24,3,multiple_choice,short_text,False,5.8984,Pre- and post-zygotic barriers exist that prevent two different species from producing viable offspring. All of the following are pre-zygotic barriers EXCEPT,sterility of offspring
experimental_graph_data,18,biology\sciverse_biology,sciverse_biology,sciversebiology00205,sciversebiology00205.json,131,11,1,multiple_choice,short_text,True,5.8791,What part of the graph represents the cooling effect of sweating?,Y
geography_other,193,geography\ai2d_geography,ai2d_geography,ai2d_geography00137,ai2d_geography00137.json,1519,4,1,multiple_choice,short_text,True,4.8987,Which planet is biggest?,Jupiter
geometry_angle_chasing,5905,math\mathvision,mathvision,mathvision01787,mathvision01787.json,2610,7,1,open,numeric_or_unit,True,4.7275,The degree measure of angle $A$ is,30
geometry_length_area_volume,1449,math\geoqa_plus,geoqa_plus,geoqaplus01857,geoqaplus01857.json,46,7,1,open,choice_label,True,5.5392,How many numbers are outside the square?,2
geomorphology_geology_hazards,94,geography\ai2d_geography,ai2d_geography,ai2d_geography00121,ai2d_geography00121.json,1345,3,1,multiple_choice,short_text,True,5.1664,cool magma becomes?,rock
graph_data_interpretation,42,physics\phyx,phyx,phyx00755,phyx00755.json,697,25,2,multiple_choice,numeric_or_unit,True,6.9907,The figure is a graph of \( E_{x} \). What is the potential difference between \( x_{i} = 1.0 \ \mathrm{m} \) and \( x_{f} = 3.0 \ \mathrm{m} \)?,200V
hydrology_ocean_rivers,116,geography\ai2d_geography,ai2d_geography,ai2d_geography00003,ai2d_geography00003.json,427,5,1,multiple_choice,short_text,True,5.7175,What is the runoff stage?,G
isomer_stereochemistry_nomenclature,14,chemistry\sciverse_chemistry,sciverse_chemistry,sciversechemistry00112,sciversechemistry00112.json,1058,12,1,multiple_choice,numeric_or_unit,True,5.914,How many chiral centers are there in morphine (excluding the N center)?,5
lab_graph_data_interpretation,13,chemistry\scemqa_chemistry,scemqa_chemistry,scemqachemistry00025,scemqachemistry00025.json,383,12,1,multiple_choice,choice_label,True,5.9511,What position on the standing wave shown below corresponds to a crest?,b
life_cycle_development,44,biology\ai2d_biology,ai2d_biology,ai2d_biology01005,ai2d_biology01005.json,1245,4,2,multiple_choice,short_text,True,5.0856,Eggs are laid in,water's surface
linear_programming_constraints,57,math\cmm_math,cmm_math,cmmmath00010,cmmmath00010.json,19899,30,2,multiple_choice,formula_latex,False,5.6332,"已知 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x-y \geq 0, \\ x+y \leq 2, \\ y \geq 0,\end{array}\right.$围为 ( )","$[-1,1]$"
map_topography_location,228,geography\ai2d_geography,ai2d_geography,ai2d_geography00177,ai2d_geography00177.json,2272,8,2,multiple_choice,short_text,True,5.7561,"How many degrees latitude is the letter ""I""?",23.5° S
math_other,640,math\geometry3k,geometry3k,geometry3k00824,geometry3k00824.json,164,2,1,calculation,choice_label,True,4.2458,Find AE,4
measurement_instrumentation,17,circuit\eee_bench,eee_bench,eeebench00227,eeebench00227.json,477,13,2,multiple_choice,numeric_or_unit,True,6.5472,"In the circuit shown in the figure, the reading of the ammeter is:",1.5 A
measurement_time_units,89,math\geoqa_plus,geoqa_plus,geoqaplus01899,geoqaplus01899.json,20,15,1,multiple_choice,short_text,True,5.9377,Which of the figures shown bellow cannot be cut out of the figure illustrated nearby?,E
mechanics_kinematics_dynamics,2660,physics\seephys,seephys,seephys00370,seephys00370.json,156,15,1,open,numeric_or_unit,True,6.3888,"For the inclined plane shown, what is the value of the incline's ideal mechanical advantage?",1.67
modern_quantum_nuclear_relativity,27,physics\emma_physics,emma_physics,emmaphysics00103,emmaphysics00103.json,148,12,2,multiple_choice,short_text,True,5.9348,What does the ? represent in the nuclear reaction shown in the image?,a neutron
molecular_structure_identification,5,chemistry\emma_chemistry,emma_chemistry,emmachemistry00293,emmachemistry00293.json,1166,11,1,open,numeric_or_unit,True,6.5269,How many chirality centers does the following molecule have? <image_1>,5
molecular_structure_smiles_bonds,75,chemistry\sciverse_chemistry,sciverse_chemistry,sciversechemistry00186,sciversechemistry00186.json,1064,9,1,multiple_choice,numeric_or_unit,True,5.7646,How many chirality centers does the following molecule have?,5
number_theory_arithmetic,105,math\geoqa_plus,geoqa_plus,geoqaplus01823,geoqaplus01823.json,11,12,1,open,numeric_or_unit,True,6.5761,Now it is 2008. What is the total sum of these digits?,10
organic_reaction_mechanism,1,chemistry\sciverse_chemistry,sciverse_chemistry,sciversechemistry00003,sciversechemistry00003.json,919,59,1,multiple_choice,short_text,True,8.0098,"下列卤代烃 $\ce{CH3CH2CH2Br}$、$\ce{(CH3)3CCl}$、$\ce{CH3CH(Br)CH3}$ 和 $\ce{(CH3)2C(Br)CH3}$ 按 $\mathrm{S_{N}1}$ 反应机理进行反应时,反应最快的是 $\ce{(CH3)3CCl}$。",right
periodic_atomic_bonding,12,chemistry\sciverse_chemistry,sciverse_chemistry,sciversechemistry00145,sciversechemistry00145.json,178,14,1,multiple_choice,formula_latex,True,5.8679,Which of the labeled arrows in the diagram above represents the strongest intermolecular force?,$B$
physics_other,426,physics\phyx,phyx,phyx01052,phyx01052.json,871,8,1,multiple_choice,numeric_or_unit,True,6.0796,As shown in the figure. Find the COP.,2.4
plant_biology,72,biology\ai2d_biology,ai2d_biology,ai2d_biology01072,ai2d_biology01072.json,2774,4,1,multiple_choice,short_text,True,4.8528,Plants are known as?,Producers
population_urban_economic,338,geography\geosqa,geosqa,geosqa00874,geosqa00874.json,1273,18,9,multiple_choice,long_text,True,7.0022,"读下表,完成问题。 <image1> 下列推断最可能的是",丙国人口迁入率最高
power_electronics_converters,11,circuit\eee_bench,eee_bench,eeebench01090,eeebench01090.json,1351,7,5,multiple_choice,short_text,True,5.6499,Identify the circuit shown in the image.,Binary to Gray code converter
power_machines_transformers,30,circuit\eee_bench,eee_bench,eeebench00732,eeebench00732.json,1590,8,2,multiple_choice,short_text,True,6.5922,The common transformer shown in the figure is ( ).,Power transformer
segment_length,34,math\geometry3k,geometry3k,geometry3k00170,geometry3k00170.json,452,5,1,calculation,numeric_or_unit,True,5.4828,Find the length of $XW$,9
sequence_pattern_logic,60,math\geoqa_plus,geoqa_plus,geoqaplus00521,geoqaplus00521.json,1999,15,1,open,numeric_or_unit,True,6.4655,Both rows of the following grid have the same sum. What is the value of $*$?,950
sequential_logic_microprocessor,35,circuit\eee_bench,eee_bench,eeebench00887,eeebench00887.json,1301,6,1,open,numeric_or_unit,True,5.7111,The circuit forms a ( )-digit counter?,14
signals_systems_filtering,191,circuit\eee_bench,eee_bench,eeebench00653,eeebench00653.json,377,7,3,multiple_choice,short_text,True,5.8996,The circuit in the image is a,low-pass filter
similarity_congruence,5,math\geometry3k,geometry3k,geometry3k00211,geometry3k00211.json,666,8,1,calculation,choice_label,True,5.4166,The pair of polygons is similar. Find AB,4
statistics_data_analysis,101,math\scemqa_math,scemqa_math,scemqamath00160,scemqamath00160.json,144,8,1,multiple_choice,numeric_or_unit,True,5.3428,What data point is indicated on the distribution?,72.1
stoichiometry_reaction_calculation,93,chemistry\sciverse_chemistry,sciverse_chemistry,sciversechemistry00212,sciversechemistry00212.json,345,17,1,multiple_choice,formula_latex,True,6.7681,Which energy difference in the energy profile below corresponds to the activation energy for the forward reaction?,$x$
thermo_fluids_gases,231,physics\phyx,phyx,phyx00896,phyx00896.json,1338,13,2,multiple_choice,numeric_or_unit,True,6.7482,Figure shows a Carnot heat engine driving a Carnot refrigerator. Determine $Q_3$.,2500 J
thermochemistry_calorimetry,37,chemistry\sciverse_chemistry,sciverse_chemistry,sciversechemistry00138,sciversechemistry00138.json,318,17,1,multiple_choice,choice_label,True,6.3482,How many significant digits are present in the temperature read from the thermometer illustrated to the right?,3
transition_state_smiles_selection,846,chemistry\emma_chemistry,emma_chemistry,emmachemistry00839,emmachemistry00839.json,633,17,2,multiple_choice,short_text,True,5.6277,"Please choose the SMILES expression of the transition-state structure shown in the image, ignoring the arrows.",*[C+]=N*
trigonometric_ratio,21,math\geometry3k,geometry3k,geometry3k00716,geometry3k00716.json,102,3,1,calculation,numeric_or_unit,True,4.9198,find $\sin R$,0.8
visual_spatial_puzzle,130,math\geoqa_plus,geoqa_plus,geoqaplus00247,geoqaplus00247.json,426,9,1,open,numeric_or_unit,True,5.8518,How many cubes have been taken from the block?,7
waves_optics_sound,449,physics\phyx,phyx,phyx00441,phyx00441.json,938,9,2,multiple_choice,numeric_or_unit,True,5.4617,As shown in the figure What is the wavelength?,0.8 m
