dataset,category,count,share_pct,question_len_median,complexity_median,multi_step_median,requires_image_pct,top_question_type,top_answer_shape
math\mathvision,geometry_angle_chasing,908,48.32,40.0,7.675,0.356,80.95,multiple_choice,formula_latex
math\mathvision,geometry_length_area_volume,496,26.4,42.0,7.761,0.356,83.87,open,numeric_or_unit
math\mathvision,math_other,174,9.26,39.0,7.652,0.347,78.16,open,numeric_or_unit
math\mathvision,coordinate_geometry_transform,64,3.41,35.5,7.397,0.347,92.19,open,numeric_or_unit
math\mathvision,counting_probability_combinatorics,49,2.61,48.0,7.956,0.347,83.67,open,numeric_or_unit
math\mathvision,visual_spatial_puzzle,43,2.29,36.0,7.486,0.347,81.4,open,numeric_or_unit
math\mathvision,number_theory_arithmetic,42,2.24,32.5,7.71,0.369,83.33,open,numeric_or_unit
math\mathvision,measurement_time_units,36,1.92,44.0,7.963,0.349,86.11,open,numeric_or_unit
math\mathvision,statistics_data_analysis,32,1.7,45.5,7.969,0.374,78.12,open,numeric_or_unit
math\mathvision,sequence_pattern_logic,24,1.28,49.0,8.105,0.347,91.67,open,numeric_or_unit
math\mathvision,algebra_equation_inequality,11,0.59,25.0,7.004,0.356,90.91,open,numeric_or_unit
math\mm_math,geometry_angle_chasing,3510,83.0,44.0,7.895,0.41,96.95,open,formula_latex
math\mm_math,coordinate_geometry_transform,407,9.62,50.0,7.906,0.437,91.15,open,formula_latex
math\mm_math,geometry_length_area_volume,276,6.53,42.0,7.387,0.401,93.12,open,formula_latex
math\mm_math,algebra_equation_inequality,27,0.64,39.0,7.563,0.41,96.3,open,formula_latex
math\mm_math,visual_spatial_puzzle,5,0.12,19.0,6.796,0.311,100.0,open,short_text
math\mm_math,math_other,2,0.05,61.5,8.392,0.439,100.0,calculation,short_text
math\mm_math,measurement_time_units,1,0.02,77.0,8.744,0.347,100.0,open,formula_latex
math\mm_math,linear_programming_constraints,1,0.02,36.0,9.011,0.545,100.0,open,choice_label
math\scemqa_math,geometry_length_area_volume,44,23.28,44.5,7.523,0.365,77.27,multiple_choice,numeric_or_unit
math\scemqa_math,statistics_data_analysis,36,19.05,25.5,7.238,0.347,97.22,multiple_choice,numeric_or_unit
math\scemqa_math,math_other,35,18.52,29.0,7.444,0.392,71.43,multiple_choice,numeric_or_unit
math\scemqa_math,algebra_equation_inequality,35,18.52,25.0,7.562,0.365,100.0,multiple_choice,formula_latex
math\scemqa_math,coordinate_geometry_transform,12,6.35,19.0,7.143,0.347,100.0,multiple_choice,formula_latex
math\scemqa_math,counting_probability_combinatorics,11,5.82,66.0,8.629,0.415,81.82,multiple_choice,numeric_or_unit
math\scemqa_math,geometry_angle_chasing,10,5.29,38.5,7.336,0.392,70.0,multiple_choice,numeric_or_unit
math\scemqa_math,measurement_time_units,4,2.12,43.0,8.531,0.405,100.0,multiple_choice,multi_part_text
math\scemqa_math,visual_spatial_puzzle,2,1.06,66.5,8.814,0.41,100.0,multiple_choice,long_text
physics\emma_physics,mechanics_kinematics_dynamics,165,62.03,96.0,8.648,0.464,72.73,multiple_choice,numeric_or_unit
physics\emma_physics,electromagnetism_circuits,53,19.92,45.0,8.072,0.392,77.36,multiple_choice,formula_latex
physics\emma_physics,physics_other,23,8.65,32.0,7.562,0.365,86.96,multiple_choice,formula_latex
physics\emma_physics,waves_optics_sound,10,3.76,96.0,9.375,0.446,100.0,multiple_choice,numeric_or_unit
physics\emma_physics,thermo_fluids_gases,8,3.01,123.0,9.537,0.5,62.5,multiple_choice,formula_latex
physics\emma_physics,graph_data_interpretation,6,2.26,85.0,9.422,0.457,100.0,multiple_choice,numeric_or_unit
physics\emma_physics,modern_quantum_nuclear_relativity,1,0.38,12.0,5.935,0.352,100.0,multiple_choice,short_text
physics\multi_physics,mechanics_kinematics_dynamics,288,54.86,97.0,8.346,0.32,89.58,multiple_choice,long_text
physics\multi_physics,electromagnetism_circuits,141,26.86,83.0,8.266,0.311,89.36,multiple_choice,long_text
physics\multi_physics,physics_other,61,11.62,82.0,8.129,0.32,77.05,multiple_choice,long_text
physics\multi_physics,waves_optics_sound,15,2.86,82.0,8.358,0.302,86.67,multiple_choice,formula_latex
physics\multi_physics,graph_data_interpretation,8,1.52,59.0,7.813,0.324,100.0,multiple_choice,long_text
physics\multi_physics,astronomy_gravity_orbits,7,1.33,92.0,7.443,0.32,28.57,multiple_choice,long_text
physics\multi_physics,thermo_fluids_gases,4,0.76,46.0,7.827,0.302,100.0,multiple_choice,long_text
physics\multi_physics,modern_quantum_nuclear_relativity,1,0.19,81.0,8.524,0.302,100.0,multiple_choice,long_text
physics\physreason,mechanics_kinematics_dynamics,788,87.07,147.0,11.989,0.658,80.46,calculation,formula_latex
physics\physreason,electromagnetism_circuits,40,4.42,95.5,10.66,0.622,70.0,open,formula_latex
physics\physreason,waves_optics_sound,36,3.98,99.0,10.944,0.615,88.89,open,formula_latex
physics\physreason,physics_other,27,2.98,84.0,9.394,0.518,74.07,open,formula_latex
physics\physreason,thermo_fluids_gases,13,1.44,154.0,10.71,0.622,76.92,calculation,formula_latex
physics\physreason,graph_data_interpretation,1,0.11,124.0,10.912,0.541,100.0,open,formula_latex
physics\phyx,mechanics_kinematics_dynamics,506,44.42,57.0,8.601,0.437,100.0,multiple_choice,numeric_or_unit
physics\phyx,waves_optics_sound,198,17.38,56.0,8.441,0.437,100.0,multiple_choice,formula_latex
physics\phyx,thermo_fluids_gases,151,13.26,60.0,8.646,0.428,100.0,multiple_choice,numeric_or_unit
physics\phyx,physics_other,132,11.59,45.5,8.108,0.397,100.0,multiple_choice,formula_latex
physics\phyx,electromagnetism_circuits,130,11.41,42.5,8.109,0.423,100.0,multiple_choice,formula_latex
physics\phyx,modern_quantum_nuclear_relativity,10,0.88,38.5,7.883,0.387,100.0,multiple_choice,formula_latex
physics\phyx,graph_data_interpretation,10,0.88,28.0,7.303,0.378,100.0,multiple_choice,formula_latex
physics\phyx,astronomy_gravity_orbits,2,0.18,86.5,8.259,0.392,100.0,multiple_choice,formula_latex
physics\sciverse_physics,mechanics_kinematics_dynamics,146,61.09,83.5,8.79,0.401,100.0,multiple_choice,numeric_or_unit
physics\sciverse_physics,electromagnetism_circuits,34,14.23,51.0,8.322,0.392,100.0,multiple_choice,formula_latex
physics\sciverse_physics,physics_other,27,11.3,30.0,7.335,0.365,100.0,multiple_choice,formula_latex
physics\sciverse_physics,waves_optics_sound,21,8.79,78.0,8.521,0.365,100.0,multiple_choice,formula_latex
physics\sciverse_physics,graph_data_interpretation,5,2.09,69.0,9.761,0.446,100.0,multiple_choice,formula_latex
physics\sciverse_physics,thermo_fluids_gases,3,1.26,39.0,7.549,0.338,100.0,multiple_choice,formula_latex
physics\sciverse_physics,astronomy_gravity_orbits,2,0.84,72.0,7.744,0.302,100.0,multiple_choice,numeric_or_unit
physics\sciverse_physics,modern_quantum_nuclear_relativity,1,0.42,13.0,5.339,0.302,100.0,multiple_choice,short_text
physics\seephys,mechanics_kinematics_dynamics,767,51.17,87.0,8.75,0.383,89.44,calculation,formula_latex
physics\seephys,electromagnetism_circuits,323,21.55,64.0,8.607,0.383,93.81,calculation,formula_latex
physics\seephys,waves_optics_sound,169,11.27,70.0,8.698,0.392,94.08,calculation,formula_latex
physics\seephys,physics_other,156,10.41,63.0,8.22,0.347,91.03,calculation,formula_latex
physics\seephys,thermo_fluids_gases,52,3.47,81.5,8.768,0.356,84.62,calculation,formula_latex
physics\seephys,modern_quantum_nuclear_relativity,14,0.93,81.5,8.954,0.439,78.57,calculation,formula_latex
physics\seephys,graph_data_interpretation,12,0.8,36.5,7.644,0.338,100.0,calculation,formula_latex
physics\seephys,astronomy_gravity_orbits,6,0.4,51.5,8.812,0.329,83.33,calculation,formula_latex
